user_id,preferred_categories,budget_range,trip_duration_days,past_places,rating_given
U0001,"hill_station,beach,food",medium,3,Jaipur,5
U0002,urban,low,6,"Goa,Darjeeling",3
U0003,wildlife,high,6,Mysore,3
U0004,"urban,adventure,hill_station",medium,6,"Goa,Jaipur",5
U0005,"food,religious",low,3,"Manali,Darjeeling",4
U0006,food,medium,6,"Goa,Varanasi",5
U0007,adventure,low,6,"Darjeeling,Coorg",5
U0008,hill_station,low,7,Ooty,3
U0009,hill_station,medium,4,"Coorg,Jaipur",4
U0010,"wildlife,religious",high,7,"Manali,Jaipur,Kerala",3
U0011,"adventure,religious",high,7,"Kerala,Coorg,Goa",3
U0012,food,medium,4,Kerala,5
U0013,"food,wildlife,urban",medium,5,"Varanasi,Jaipur,Ooty",3
U0014,urban,high,4,"Darjeeling,Rishikesh,Mysore",4
U0015,heritage,high,5,Goa,3
U0016,heritage,high,5,"Manali,Rishikesh,Mysore",5
U0017,"urban,religious",high,2,"Manali,Mysore,Ooty",5
U0018,"hill_station,religious",medium,3,"Goa,Ooty",5
U0019,urban,low,7,"Mysore,Kerala",3
U0020,"heritage,beach",high,4,"Goa,Manali",4
U0021,"wildlife,beach",low,6,Manali,5
U0022,"hill_station,heritage",low,7,"Mysore,Jaipur",4
U0023,"adventure,wildlife,religious",high,7,Ooty,4
U0024,"food,nature,religious",medium,2,Kerala,3
U0025,"beach,wildlife",high,3,Manali,5
U0026,"beach,wildlife,urban",low,4,Mysore,3
U0027,"nature,wildlife",high,3,"Darjeeling,Varanasi,Kerala",4
U0028,"wildlife,hill_station",low,7,"Coorg,Rishikesh",4
U0029,"beach,hill_station",low,5,"Coorg,Manali,Kerala",3
U0030,urban,medium,3,"Jaipur,Ooty",4
U0031,hill_station,medium,6,Goa,5
U0032,"beach,hill_station,adventure",low,3,"Varanasi,Darjeeling",3
U0033,"beach,heritage",medium,2,"Ooty,Varanasi",4
U0034,"urban,nature",low,3,"Kerala,Goa",5
U0035,"urban,beach,food",medium,2,Darjeeling,4
U0036,"urban,heritage,beach",high,2,Manali,5
U0037,wildlife,medium,2,"Kerala,Goa,Manali",4
U0038,"urban,food,heritage",low,7,"Coorg,Kerala,Ooty",4
U0039,religious,medium,4,Goa,4
U0040,"hill_station,urban,religious",low,6,"Jaipur,Coorg",3
U0041,food,medium,3,"Mysore,Ooty",5
U0042,"urban,beach,food",high,4,"Manali,Jaipur,Ooty",3
U0043,urban,low,4,"Darjeeling,Kerala",5
U0044,"wildlife,religious",high,5,"Goa,Manali",5
U0045,"religious,beach",low,4,Ooty,3
U0046,"nature,adventure,religious",low,2,Jaipur,5
U0047,food,high,6,Rishikesh,3
U0048,religious,medium,2,"Kerala,Darjeeling",5
U0049,food,high,5,"Jaipur,Kerala,Darjeeling",3
U0050,"beach,heritage",high,4,"Kerala,Ooty",3
U0051,"hill_station,adventure,nature",low,5,Kerala,4
U0052,"religious,wildlife",low,2,"Kerala,Rishikesh,Coorg",4
U0053,religious,medium,7,"Rishikesh,Mysore,Coorg",3
U0054,religious,low,6,"Goa,Manali",5
U0055,"food,urban",medium,6,"Manali,Rishikesh,Kerala",4
U0056,adventure,low,6,"Kerala,Coorg,Rishikesh",3
U0057,"food,urban,nature",low,7,"Mysore,Ooty",5
U0058,"food,adventure",high,4,"Jaipur,Kerala,Rishikesh",5
U0059,"heritage,religious",medium,6,Ooty,4
U0060,adventure,high,6,"Coorg,Varanasi,Mysore",4
U0061,"wildlife,nature,adventure",high,3,"Manali,Ooty,Coorg",3
U0062,religious,low,3,Goa,3
U0063,nature,high,2,"Rishikesh,Kerala",5
U0064,"adventure,nature,wildlife",low,3,"Goa,Manali,Rishikesh",3
U0065,urban,medium,2,"Kerala,Manali,Varanasi",3
U0066,"urban,food",medium,6,"Mysore,Rishikesh,Varanasi",3
U0067,"nature,urban,heritage",low,7,"Mysore,Varanasi",5
U0068,religious,medium,2,"Ooty,Kerala,Darjeeling",4
U0069,"urban,hill_station",low,3,Rishikesh,5
U0070,wildlife,low,5,"Coorg,Mysore",4
U0071,"beach,wildlife",medium,5,"Goa,Rishikesh,Varanasi",3
U0072,"religious,adventure",medium,6,"Mysore,Kerala,Varanasi",3
U0073,"adventure,nature",low,5,"Rishikesh,Jaipur",4
U0074,urban,low,5,"Darjeeling,Goa,Manali",5
U0075,"heritage,nature",low,2,"Rishikesh,Coorg",3
U0076,"food,urban",medium,4,"Ooty,Manali",4
U0077,urban,low,4,Manali,5
U0078,beach,low,3,Darjeeling,3
U0079,heritage,medium,7,Darjeeling,3
U0080,"religious,food",low,6,"Manali,Jaipur,Ooty",3
U0081,"beach,religious,nature",high,5,"Kerala,Manali",5
U0082,"wildlife,hill_station,food",medium,7,"Manali,Goa,Coorg",5
U0083,"food,hill_station",high,7,"Goa,Rishikesh",4
U0084,adventure,medium,7,"Jaipur,Rishikesh",3
U0085,"urban,religious,nature",high,5,"Rishikesh,Ooty",4
U0086,hill_station,medium,5,Varanasi,5
U0087,"adventure,food,beach",medium,4,Varanasi,3
U0088,"religious,food",medium,6,"Ooty,Mysore,Goa",5
U0089,hill_station,low,7,"Varanasi,Mysore",3
U0090,"nature,urban,wildlife",low,2,"Kerala,Rishikesh",5
U0091,religious,high,6,"Varanasi,Mysore",5
U0092,"adventure,food",medium,7,"Ooty,Darjeeling",4
U0093,hill_station,high,3,"Manali,Mysore",5
U0094,wildlife,low,7,"Ooty,Mysore",5
U0095,"hill_station,wildlife",medium,3,"Jaipur,Ooty",3
U0096,"urban,heritage,nature",low,2,"Ooty,Jaipur,Varanasi",3
U0097,religious,medium,5,"Coorg,Jaipur",3
U0098,"nature,hill_station",low,5,"Manali,Goa",3
U0099,religious,low,3,Mysore,4
U0100,"wildlife,adventure,urban",medium,4,"Rishikesh,Ooty,Goa",5
U0101,"hill_station,wildlife,food",low,4,"Manali,Jaipur,Kerala",3
U0102,"hill_station,heritage,beach",medium,5,"Darjeeling,Varanasi,Ooty",3
U0103,religious,high,4,"Varanasi,Manali,Kerala",4
U0104,"wildlife,adventure,beach",high,3,"Jaipur,Ooty,Darjeeling",3
U0105,heritage,medium,6,"Darjeeling,Ooty,Varanasi",3
U0106,"religious,adventure",medium,6,"Varanasi,Darjeeling,Manali",5
U0107,adventure,high,4,"Ooty,Goa,Manali",3
U0108,"beach,religious,nature",low,3,"Mysore,Varanasi",4
U0109,adventure,high,5,Varanasi,4
U0110,"food,urban",high,2,Coorg,4
U0111,"nature,religious,food",medium,6,Varanasi,3
U0112,"religious,food",low,5,"Goa,Mysore,Varanasi",4
U0113,wildlife,high,4,"Varanasi,Darjeeling,Goa",3
U0114,"urban,heritage",medium,5,"Varanasi,Manali,Goa",5
U0115,"wildlife,heritage,nature",high,2,"Rishikesh,Manali,Kerala",3
U0116,"hill_station,heritage",medium,7,"Mysore,Ooty",4
U0117,"nature,wildlife",medium,6,Rishikesh,3
U0118,"urban,heritage,adventure",low,4,"Coorg,Mysore",4
U0119,religious,high,4,"Darjeeling,Varanasi,Jaipur",4
U0120,"nature,food,heritage",high,6,"Varanasi,Coorg",3
U0121,"wildlife,adventure,hill_station",medium,2,"Varanasi,Rishikesh",4
U0122,"heritage,nature,beach",low,6,"Coorg,Manali,Varanasi",3
U0123,"nature,beach,food",low,5,"Jaipur,Manali,Varanasi",4
U0124,"adventure,hill_station",medium,7,"Rishikesh,Coorg,Varanasi",5
U0125,hill_station,low,7,"Ooty,Kerala,Manali",4
U0126,hill_station,medium,3,"Ooty,Goa,Mysore",4
U0127,religious,medium,4,"Jaipur,Kerala",5
U0128,"heritage,urban",low,2,"Rishikesh,Kerala,Varanasi",5
U0129,wildlife,medium,7,"Varanasi,Ooty",5
U0130,nature,medium,7,"Jaipur,Manali,Varanasi",4
U0131,"religious,adventure,food",medium,5,"Kerala,Rishikesh",4
U0132,wildlife,medium,6,"Darjeeling,Ooty",5
U0133,"beach,adventure",medium,2,"Goa,Varanasi,Ooty",3
U0134,"food,wildlife,urban",low,6,"Jaipur,Manali",5
U0135,"beach,religious,adventure",medium,2,"Coorg,Jaipur,Manali",4
U0136,"adventure,heritage",low,3,"Coorg,Mysore,Ooty",3
U0137,"nature,religious",high,4,Varanasi,3
U0138,wildlife,high,7,"Rishikesh,Mysore,Coorg",3
U0139,"beach,religious",high,2,"Coorg,Ooty",5
U0140,"food,hill_station",high,3,"Goa,Mysore",4
U0141,"wildlife,hill_station,food",medium,7,"Rishikesh,Manali",3
U0142,beach,medium,5,Manali,3
U0143,"heritage,adventure,wildlife",medium,7,"Mysore,Rishikesh,Jaipur",4
U0144,"hill_station,nature,religious",medium,4,Coorg,3
U0145,"nature,wildlife",medium,2,"Coorg,Mysore,Darjeeling",3
U0146,"religious,wildlife",low,5,Kerala,5
U0147,"beach,urban,adventure",medium,3,Darjeeling,3
U0148,urban,low,6,Kerala,4
U0149,beach,medium,3,Mysore,4
U0150,hill_station,high,2,Goa,4
U0151,food,low,3,"Goa,Jaipur",5
U0152,"urban,hill_station",high,2,"Varanasi,Coorg",5
U0153,"hill_station,nature,religious",low,6,Mysore,4
U0154,"beach,urban",medium,5,"Manali,Varanasi",5
U0155,"hill_station,urban",medium,6,Manali,3
U0156,"urban,food",medium,6,"Ooty,Varanasi,Rishikesh",3
U0157,"hill_station,wildlife,nature",medium,3,"Coorg,Varanasi",4
U0158,"hill_station,food",medium,4,"Ooty,Coorg,Jaipur",5
U0159,"hill_station,urban",low,2,"Manali,Coorg",3
U0160,"beach,food,nature",low,5,"Rishikesh,Goa",4
U0161,"religious,food,beach",high,6,Jaipur,5
U0162,"wildlife,hill_station",medium,6,"Manali,Ooty",5
U0163,adventure,high,6,"Mysore,Goa,Ooty",3
U0164,religious,high,4,"Coorg,Goa",3
U0165,adventure,low,3,"Goa,Manali,Kerala",4
U0166,"nature,food",low,4,"Coorg,Manali",3
U0167,heritage,high,2,"Manali,Ooty,Varanasi",5
U0168,"nature,urban",medium,4,Mysore,3
U0169,"adventure,hill_station",medium,7,"Darjeeling,Varanasi,Ooty",3
U0170,adventure,high,2,Kerala,4
U0171,heritage,medium,4,"Manali,Goa",4
U0172,"adventure,heritage,hill_station",medium,6,"Kerala,Mysore,Coorg",3
U0173,"beach,adventure",low,5,Coorg,5
U0174,"adventure,urban",medium,2,"Goa,Coorg",3
U0175,"nature,food,beach",medium,2,Rishikesh,5
U0176,"urban,hill_station",medium,4,"Coorg,Kerala,Darjeeling",3
U0177,urban,high,2,"Mysore,Kerala,Coorg",4
U0178,"heritage,wildlife,beach",low,4,Jaipur,5
U0179,hill_station,low,7,"Varanasi,Darjeeling",5
U0180,"food,urban,hill_station",medium,2,"Varanasi,Ooty",4
U0181,"beach,food,religious",low,4,"Varanasi,Goa",3
U0182,"religious,hill_station",high,2,"Darjeeling,Mysore,Rishikesh",4
U0183,"urban,beach,wildlife",high,7,Coorg,5
U0184,"urban,heritage",low,5,Coorg,5
U0185,urban,high,3,Kerala,5
U0186,"nature,heritage",medium,4,"Rishikesh,Darjeeling",4
U0187,"beach,food,urban",medium,2,"Rishikesh,Ooty,Mysore",5
U0188,"heritage,food,beach",high,7,Coorg,4
U0189,"adventure,heritage,religious",high,2,"Mysore,Rishikesh",5
U0190,"heritage,hill_station",high,7,"Mysore,Coorg",3
U0191,"religious,heritage",low,4,"Kerala,Darjeeling",3
U0192,hill_station,medium,2,"Mysore,Darjeeling,Goa",5
U0193,"heritage,adventure",low,3,Darjeeling,3
U0194,"nature,beach,wildlife",medium,7,"Kerala,Varanasi,Ooty",5
U0195,"wildlife,urban",medium,5,Coorg,5
U0196,"nature,urban,adventure",medium,5,"Mysore,Rishikesh,Jaipur",3
U0197,"heritage,religious,beach",high,5,"Mysore,Manali",5
U0198,"hill_station,religious,beach",low,4,"Mysore,Jaipur",4
U0199,wildlife,medium,4,Rishikesh,3
U0200,"urban,food",low,5,Coorg,3
U0201,food,low,7,"Coorg,Jaipur,Mysore",3
U0202,"nature,heritage",high,5,"Darjeeling,Goa",3
U0203,religious,low,3,"Darjeeling,Mysore,Rishikesh",3
U0204,"wildlife,religious",low,2,Rishikesh,5
U0205,"nature,hill_station,beach",medium,6,"Goa,Mysore,Kerala",5
U0206,religious,medium,2,"Coorg,Kerala,Rishikesh",3
U0207,"hill_station,food,beach",high,6,"Mysore,Darjeeling,Goa",4
U0208,"beach,adventure",medium,4,"Goa,Coorg,Manali",4
U0209,hill_station,high,7,"Jaipur,Goa",4
U0210,"food,heritage,adventure",high,5,"Varanasi,Jaipur,Mysore",3
U0211,"nature,beach,heritage",low,2,Goa,4
U0212,"urban,adventure",high,5,"Goa,Kerala",4
U0213,"beach,food",medium,2,"Rishikesh,Darjeeling",5
U0214,"adventure,food",low,5,"Varanasi,Coorg,Ooty",3
U0215,"adventure,hill_station,wildlife",high,3,"Ooty,Coorg,Manali",3
U0216,"religious,urban",medium,6,"Rishikesh,Jaipur,Varanasi",4
U0217,"beach,food",high,5,"Goa,Manali",5
U0218,"adventure,food,religious",high,7,Goa,3
U0219,"nature,beach,hill_station",low,3,"Coorg,Darjeeling,Rishikesh",5
U0220,heritage,high,5,"Coorg,Varanasi",3
U0221,"heritage,food,wildlife",medium,7,"Kerala,Manali",3
U0222,"heritage,nature,religious",medium,6,Ooty,4
U0223,"nature,wildlife,religious",medium,7,"Kerala,Manali",3
U0224,nature,low,7,"Manali,Coorg",5
U0225,"hill_station,religious",medium,3,"Jaipur,Coorg,Kerala",3
U0226,heritage,low,5,Coorg,5
U0227,"food,nature,adventure",high,3,"Manali,Darjeeling,Ooty",4
U0228,"nature,adventure,urban",medium,6,Jaipur,4
U0229,"hill_station,nature,wildlife",high,6,"Jaipur,Mysore",5
U0230,"heritage,urban,wildlife",high,2,Mysore,3
U0231,"heritage,urban",medium,7,Coorg,5
