address,city,country,crawl_date,hotel_brand,hotel_description,hotel_facilities,hotel_star_rating,image_count,latitude,locality,longitude,pageurl,property_id,property_name,property_type,province,qts,room_count,room_type,similar_hotel,site_review_count,site_review_rating,site_stay_review_rating,sitename,special_tag,state,uniq_id,zone
"KHIRSU, 246147 Pauri, India – Great location -",pauri,India,2016-09-01,"","Khirsu By GMVN offers accommodation in Pauri. Each room has a TV and offers views of the mountains. Some rooms have a seating area where you can relax. Rooms have a private bathroom. Khirsu By GMVN features free WiFi . You will find room service at the property. The hotel also offers car hire. The nearest airport is Jolly Grant Airport, 59 km from Khirsu By GMVN.","Bathroom:Toilet paper|Linen|Towels|Bathroom|Toilet•Bedroom:Wardrobe/Closet•View:Mountain view|View•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Seating Area|Desk•Media & Technology:Satellite Channels|TV•Food & Drink:Breakfast in the room•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free public parking is possible on site (reservation is not needed).•Services:Daily maid service|Shuttle service (surcharge)|Wake-up service|Car hire|Room service•General:Designated smoking area|Non-smoking throughout|Tile/Marble floor|Heating|Fan|Non-smoking rooms|Newspapers","",3,30.123748754600438,"",78.79377365112305,http://www.booking.com/hotel/in/khirsu-by-gmvn.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1742658,Khirsu By GMVN,204,"",2016-09-01 11:52:38 +0000,18,Economy Double Room,Hotel Mandakini,"","","",http://www.booking.com/,Share,Uttarakhand,a5ea72415f8007fcbe65759830fdd3d9,""
"Kaathadimattam, Balacola Post, NEAR Siva Tea Factory, Ooty, 643203 Ooty, India – Great location -",ooty,India,2016-09-01,"","Situated in Ooty in the Tamil Nadu Region, 8 km from Ooty Lake, Global Village Ooty features a barbecue, children's playground and terrace. Good Shepherd International School is 5 km away. Free WiFi is offered throughout the property and free private parking is available on site. Each unit is equipped with a private bathroom with free toiletries and a hairdryer. Towels are available. Guests can enjoy the high altitude on-site restaurant. The property also offers packed lunches. Bike hire is available at the property and the area is popular for cycling. The Lawrence School Lovedale​ is 6 km from Global Village Ooty, while Laidlaw Memorial School is 7 km from the property. The nearest airport is Coimbatore International Airport, 51 km from Global Village Ooty.","Bathroom:Toilet paper|Linen|Towels|Bidet|Towels/Sheets (extra fee)|Bathroom|Toilet|Free toiletries|Shared Bathroom|Hairdryer|Shower•View:Mountain view|View•Outdoors:BBQ facilities|Terrace|Garden•Kitchen:Children's high chair|Kitchenware|Electric kettle•Room Amenities:Drying rack for clothing•Pets:Pets are not allowed.•Activities:Cycling|Bicycle rental|Children's playground|Games room•Food & Drink:Kid meals|Restaurant (buffet)|Restaurant (à la carte)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|Private check-in/check-out|Luggage storage|Ticket service|Tour desk|24-hour front desk•Entertainment and family services:Babysitting/child services•Cleaning services:Daily maid service|Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying|Business centre|Meeting/banquet facilities•General:Airport shuttle (surcharge)|Shuttle service (surcharge)|Non-smoking throughout|Hardwood/Parquet floors|Soundproofing|Car hire|Packed lunches|Soundproof rooms|Bridal suite|VIP room facilities|Barber/beauty shop|Non-smoking rooms|Room service•Languages spoken:",3 stars,"",11.3295949192368,"",76.686732172966,http://www.booking.com/hotel/in/global-village-ooty.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=17&checkin_year_month=2016-12&checkout_monthday=18&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1755986,Global Village Ooty,212,"",2016-09-01 11:52:38 +0000,10,British Empire Chalet,Treebo Yantra Leisures|Western Valley Resorts|Two Seas Residence,5,7.6,Location:8.5|Staff:8|Cleanliness:7.5|Comfort:7.5|Value for money:7.5|Facilities:6.5,http://www.booking.com/,Share,Tamil Nadu,7e0b055417271bbd9dae902f3e231ed4,""
"PIPALKOTI, 246472 Pīpalkoti, India – Show map",pīpalkoti,India,2016-09-01,"",TRH Pipalkoti offers accommodation in Pīpalkoti. Free private parking is available on site. Certain rooms include a seating area to relax in after a busy day. Rooms are fitted with a private bathroom. TRH Pipalkoti features free WiFi throughout the property. A TV is featured. You will find a 24-hour front desk at the property.,"Bathroom:Toilet paper|Linen|Towels|Bathroom•View:Mountain view|View•Pets:Pets are not allowed.•Living Area:Desk•Food & Drink:Special diet menus (on request)|Breakfast in the room•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Private check-in/check-out|Luggage storage|Wake-up service|24-hour front desk|Room service•General:Designated smoking area|Non-smoking throughout|Tile/Marble floor|Non-smoking rooms|Newspapers•Languages spoken:","",4,30.429539641291015,"",79.42811608314514,http://www.booking.com/hotel/in/trh-pipalkoti.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1741747,TRH Pipalkoti,204,"",2016-09-01 11:52:38 +0000,28,Economy Double Room,TRH Joshimath (New),"","","",http://www.booking.com/,Share,Uttarakhand,72c0af09827bbb620365aa5df523ba1d,""
"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map",kumarakom,India,2016-09-01,"","Swasti house boat 2 is located in Kumarakom, 3.9 km from Vembanad Lake. Guests can enjoy the on-site restaurant. Free private parking is available on site. Every room at this hotel is air conditioned and comes with a TV. Certain units have a seating area where you can relax. There is a cash machine, room service, gift shop, and shops at the property. Car hire is available at this hotel and the area is popular for fishing. Kochi International Airport is 60 km away.","Bathroom:Toilet paper|Towels|Bath|Shower•Bedroom:Wardrobe/Closet•View:Lake view|View•Outdoors:Sun terrace|Terrace•Kitchen:Dining table•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Massage|Fishing•Living Area:Dining area|Seating Area•Media & Technology:Cable Channels|TV•Food & Drink:Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Lockers|ATM/cash machine on site|Luggage storage•Entertainment and family services:Baby safety gates|Books, DVDs or music for children•Business facilities:Meeting/banquet facilities•General:Grocery deliveries|Mini-market on site|Designated smoking area|Air conditioning|Shops (on site)|Wake-up service|Hardwood/Parquet floors|Heating|Car hire|Gift shop|Fan|Safety Deposit Box|Room service•Languages spoken:","",2,9.616056771806416,"",76.42826914787292,http://www.booking.com/hotel/in/swasti-house-boat-2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747392,Swasti house boat 2,204,"",2016-09-01 11:52:38 +0000,1,Deluxe Room,"","","","",http://www.booking.com/,Share,Kerala,eb6fd33d99aa4a8088caa8f3ecb08275,""
"Kavanattinkara, 686563 Kumarakom, India – Show map",kumarakom,India,2016-09-01,"","Amrutham Houseboat 2 is set in Kumarakom, 5 km from Vembanad Lake. Kumarakom Bird Sanctuary is 300 metres away. Free private parking is available on site. All units are air conditioned and feature a seating area. There is also a dining area and a kitchen equipped with a fridge. Towels are offered. Guests can enjoy the on-site restaurant. Car hire is available at the property and the area is popular for fishing and canoeing. The nearest airport is Kochi International Airport, 58 km from Amrutham Houseboat 2.","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Free toiletries|Bath|Shower•Bedroom:Wardrobe/Closet|Extra Long Beds (> 2 metres)•View:Lake view•Kitchen:Dining table|Kitchen|Refrigerator•Room Amenities:Clothes rack•Pets:Free!
Pets are allowed on request. No extra charges.•Activities:Evening entertainment|Canoeing|Fishing•Living Area:Dining area|Seating Area•Media & Technology:TV•Food & Drink:Restaurant (buffet)•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Services:Private check-in/check-out|Car hire|24-hour front desk|Meeting/banquet facilities•Entertainment and family services:Books, DVDs or music for children•General:Designated smoking area|Air conditioning|Fan|Safety Deposit Box","","",9.632854358119618,"",76.42356991767883,http://www.booking.com/hotel/in/amrutham-houseboat-2.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1744962,Amrutham Houseboat 2,215,"",2016-09-01 11:52:38 +0000,2,Mobile Home,Mandala Beach House & Cottages,"","","",http://www.booking.com/,Share,Kerala,0814d9af7ad808863c04db8f30437c57,""
"15 A Arani House Ooty, 643002 Ooty, India – Show map",ooty,India,2016-09-01,"","Located 3.4 km from Ooty Lake and 800 m from Hebron School Ooty, The Hill Side offers accommodation in Ooty. The property is 1 km from Ooty Botanical Gardens and free private parking is offered. Free WiFi is provided throughout the property. A flat-screen TV is available. Other facilities at The Hill Side include a terrace. Ooty Rose Garden is 1.4 km from The Hill Side, while Ooty Doddabetta Peak is 2.3 km away. The nearest airport is Coimbatore International Airport, 55 km from The Hill Side.","Miscellaneous:Non-smoking rooms•Bathroom:Toilet paper|Linen|Towels|Bathroom|Toilet|Hairdryer•Bedroom:Wardrobe/Closet•Outdoors:Terrace•Kitchen:Electric kettle•Room Amenities:Clothes rack|Tile/Marble floor|Soundproofing|Ironing Facilities•Services & Extras:Wake-up service•Pets:Pets are not allowed.•Media & Technology:Flat-screen TV|Satellite Channels•Food & Drink:Breakfast in the room|Room service•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Cleaning services:Daily maid service|Ironing service|Dry cleaning|Laundry•Languages spoken:","",12,11.413459647507299,"",76.71859949827194,http://www.booking.com/hotel/in/the-hill-side.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=09&checkin_year_month=2016-12&checkout_monthday=10&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1756349,The Hill Side,201,"",2016-09-01 11:52:38 +0000,20,Standard Room in Apartment,Two Seas Residence,81,8.4,"",http://www.booking.com/,Share,Tamil Nadu,cd2caff07410c06831e50a5ed0807f6c,""
"Near White Meadows Resorts Prini, Manali Distt. Kullu (H.P.), 175131 Manāli, India – Show map",manāli,India,2016-09-01,"","One of our bestsellers in Manāli! Hotel Mountain Face offers accommodation in Manāli. The hotel has a terrace and views of the mountain, and guests can enjoy a meal at the restaurant. Free private parking is available on site. Rooms come with a flat-screen TV. Every room is equipped with a private bathroom. Hotel Mountain Face features free WiFi throughout the property. You will find a 24-hour front desk at the property. The hotel also offers car hire. Hidimba Devi Temple is 3.3 km from Hotel Mountain Face, while Tibetan Monastery is 2.4 km from the property. Gaggal Airport is 88 km away.","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Bath or Shower|Bathroom|Toilet|Free toiletries|Shower•Outdoors:Terrace|Garden•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Dining area|Sofa•Media & Technology:Flat-screen TV•Food & Drink:Special diet menus (on request)|Restaurant•Internet:Free!
WiFi is available in all areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Luggage storage|Ticket service|Tour desk|Currency exchange|24-hour front desk•Cleaning services:Trouser press|Shoeshine|Dry cleaning|Laundry•Business facilities:Meeting/banquet facilities•General:Airport shuttle (surcharge)|Wake-up service|Heating|Car hire|Packed lunches|Carpeted|Safety deposit box|Fan|Newspapers|Room service•Languages spoken:",2-star hotel,45,32.22145594765875,"",77.19583421945572,http://www.booking.com/hotel/in/mountain-face.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=01&checkin_year_month=2016-12&checkout_monthday=02&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1737428,Hotel Mountain Face,204,"",2016-09-01 11:52:38 +0000,28,Budget Double Room,Sparsh Resort|Pause at Manali|Hotel Mountain Trail Manali,16,6.9,"",http://www.booking.com/,Share,Himachal Pradesh,e7482ae06a72dee32708e226d5dcf73d,""
"Near Railway Station Near Railway Station, 249401 Haridwār, India – Great location -",haridwār,India,2016-09-01,"","Rahi Motel Haridwar is located in Haridwār, 1.5 km from Mansa Devi Temple and 1 km from Har Ki Pauri. Guests can enjoy the on-site restaurant. Free private parking is available on site. The rooms are fitted with a TV with cable channels. Each room is equipped with a private bathroom. Rahi Motel Haridwar features free WiFi . You will find a 24-hour front desk at the property. The hotel also offers car hire. The nearest airport is Jolly Grant Airport, 27 km from the property.","Bathroom:Toilet paper|Linen|Towels|Towels/Sheets (extra fee)|Slippers|Bathroom|Toilet|Shower•Bedroom:Wardrobe/Closet•Outdoors:Garden•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Living Area:Desk•Media & Technology:Cable Channels|TV•Food & Drink:Special diet menus (on request)|Breakfast in the room|Restaurant•Internet:Free!
WiFi is available in public areas and is free of charge.•Parking:Free!
Free private parking is possible on site (reservation is not needed).•Reception services:Private check-in/check-out|Luggage storage|24-hour front desk•Cleaning services:Trouser press|Shoeshine|Ironing service|Dry cleaning|Laundry•Business facilities:Fax/photocopying•General:Shuttle service (surcharge)|Wake-up service|Tile/Marble floor|Car hire|Packed lunches|Fan|Family rooms|Newspapers|Room service","","",29.94695888439015,"",78.15648894550782,http://www.booking.com/hotel/in/rahi-motel-haridwar.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1742655,Rahi Motel Haridwar,204,"",2016-09-01 11:52:38 +0000,32,Economy Double Room,Himgiri Residency|Hotel Le Central,55,6.2,"",http://www.booking.com/,Share,Uttarakhand,afe4c16fa1512557020acaa51ff744ef,""
"1 KARIYIL HOUSE KUMARAKOM NORTH PO KOTTAYAM, 686563 Kumarakom, India – Show map",kumarakom,India,2016-09-01,"","Situated in Kumarakom, 3.9 km from Vembanad Lake, Swasti house boat 4 features air-conditioned rooms and free private parking. Guests can enjoy the on-site restaurant. Every room includes a TV. Some units feature a seating area where you can relax. You will find a gift shop at the property. Car hire is available at this hotel and the area is popular for fishing. The nearest airport is Kochi International Airport, 60 km from Swasti house boat 4.","Bathroom:Toilet paper|Towels|Bath|Shower•Bedroom:Wardrobe/Closet•View:Lake view|View•Kitchen:Dining table|Refrigerator•Room Amenities:Clothes rack•Pets:Pets are not allowed.•Activities:Massage|Fishing•Living Area:Dining area|Seating Area•Media & Technology:TV•Food & Drink:Snack bar|Restaurant (buffet)|Restaurant (à la carte)|Restaurant•Internet:No internet access available.•Parking:Free!
Free private parking is possible on site (reservation is needed).•Services:Shared lounge/TV area•Reception services:Concierge service|ATM/cash machine on site|Luggage storage|Ticket service|Currency exchange•Entertainment and family services:Baby safety gates|Books, DVDs or music for children|Board games/puzzles•Business facilities:Meeting/banquet facilities•General:Grocery deliveries|Mini-market on site|Designated smoking area|Air conditioning|Shops (on site)|Wake-up service|Hardwood/Parquet floors|Car hire|Gift shop|Fan|Facilities for disabled guests|Non-smoking rooms|Room service•Languages spoken:",3-star hotel,1,9.617156891168982,"",76.42783999443054,http://www.booking.com/hotel/in/swasti-house-boat-4.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=16&checkin_year_month=2016-12&checkout_monthday=17&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,1747391,Swasti house boat 4,204,"",2016-09-01 11:52:38 +0000,2,Deluxe Room,Sreekrishna Houseboat C/o Sreekrishna ayurveda Panchakarma Centre,30,8.2,"",http://www.booking.com/,Share,Kerala,b0ac79ef7273575d5ce09de1c8f29db0,""
"",pura raghunāth,India,2016-09-01,"","","",5-star hotel,"",25.2632040662184,"",82.8412191952521,http://www.booking.com/hotel/in/sanjay-motels-i-pvt-ltd.en-gb.html?label=gen173nr-15CAsobEIadGhlLWxlZWxhLXBhbGFjZS1iYW5nYWxvcmVIM2IFbm9yZWZobIgBAZgBLrgBBMgBBNgBA-gBAfgBAw;sid=f341da5cb268bae3ab8d5a82ed66e21f;dcid=4;checkin_monthday=03&checkin_year_month=2016-12&checkout_monthday=04&checkout_year_month=2016-12&do_availability_check=1&sb_price_type=total&type=total&group_adults=2;selected_currency=INR;changed_currency=allowed_duration = 27000,"","",City,"",2016-09-01 11:52:38 +0000,"",Superior Double Room,"","",7.7,"",http://www.booking.com/,"",Uttar Pradesh,4e8b622d006998420ab908936ce6d7c7,""
